cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-199.58113606687863	1.6174176634960815	-2.4326719278010005	0.2497268518850779	181.157702908352	0.08983282331977177	0.1047134740478435	0.000388021244745193	12.210821729791462	-8.540569882488324	1.6390465171701634
theophylline	rep2	-199.3670938661496	1.928224769597273	-3.1803667361445003	0.3002138790102543	181.28365338001947	0.11549218676283397	0.09171615910700123	0.00024457918983430694	11.797146293414189	-9.374944769753418	1.9548702361694192
theophylline	rep3	-201.27475756270854	1.7278253406866706	-2.8323145113163752	0.5453441158619163	181.57978829875879	0.18241841578367712	0.11010605505779122	0.0001333731790919735	11.754520768727431	-10.662656951480919	1.8210044230670215
1_methylxanthine	rep1	-245.82121449441595	0.9262807333113574	-2.8814335704943748	0.48443887260307683	227.28805690854503	0.11063075793166532	0.07968781759009817	0.00022404109451625503	11.792593080043208	-9.542310258731998	1.0511499574217338
1_methylxanthine	rep2	-240.85598950066247	1.7223182502439154	-2.28692135025975	0.08402902210643581	227.3326730628418	0.07756090238417923	0.0707645175480196	9.013700381044847e-05	12.011714636645587	-3.727758633886822	1.7261102900402263
1_methylxanthine	rep3	-241.64559689134825	1.664938032506445	-2.255555158122875	0.1059231536681399	227.3750914252812	0.14475450969885112	0.07599927265837322	0.00015756962061966006	11.667614428888752	-4.782446922642814	1.6745722616464707
3_methylxanthine	rep1	-252.44380538105062	1.500750723833276	-3.236375471641	1.025686772946605	235.22783531575806	0.18289637226021918	0.08104911150457357	0.00029368091504623924	11.80172316723118	-8.56957325819781	1.8269475253871281
3_methylxanthine	rep2	-252.4188115176101	2.307752189580794	-2.8292497117910003	0.4758359162818243	235.22216683942548	0.10716855373338395	0.0678250048869346	0.00019460056551477887	11.784116247516723	-8.173953137571948	2.3587337968743736
3_methylxanthine	rep3	-257.1827695770213	1.1169861287787655	-2.1336245922772497	0.019860312066124416	235.17728828189524	0.06381129560516177	0.07835599063654027	1.1425860110632883e-05	11.564316216056298	-12.496433680710492	1.1189836126846973
hypoxanthine	rep1	-183.0818106799448	1.3227361562854572	-3.002613171901375	0.6077398402151698	169.4776198374555	0.10925062208957564	0.06327078091362251	1.9874751318282805e-05	11.69702726022776	-4.846505973249279	1.4597651699336953
hypoxanthine	rep2	-184.39706998217085	1.475738103920889	-2.7080695976278744	0.16708192507408062	169.44931505860723	0.09850527634807858	0.0556310030534064	1.5703113172686282e-05	11.63282569028035	-5.967367827857748	1.4884295787055162
hypoxanthine	rep3	-184.4185849282518	1.3810140487872837	-2.29952636182775	0.06682445827793483	169.52436300069172	0.09356404422568017	0.06276748904392174	0.00016642525981406747	11.662479304703721	-5.468501495640185	1.3857920367938392
xanthine	rep1	-299.4888082472874	1.5199481719586447	-2.67448375316375	0.16059918752121638	281.37226167310496	0.05623066584583082	0.048506871966375015	8.761469508259874e-05	11.56927199425073	-9.173251461129116	1.5294431796999524
xanthine	rep2	-298.93931665187586	0.9632052302542786	-3.288030469384875	1.0829863640213933	281.4686053730719	0.09470170667335723	0.047413902353890786	0.0001253822197504156	11.703007167842385	-9.008320677992534	1.452443530473052
xanthine	rep3	-296.16988614309093	2.0726645296553454	-2.5659799823912497	0.006063580098656098	281.50505792345064	0.13023316568949272	0.05028525803807211	2.20346973536373e-05	11.863664672559329	-5.316858271434137	2.076760866692663
caffeine	rep1	-195.67749848424737	1.5527413701144863	-2.157162085032625	0.11184683736580596	180.63372230750892	0.1400392172041062	0.10499300833892311	2.7894006155506898e-05	11.511610674808116	-5.584334578624047	1.5630503704701777
caffeine	rep2	-200.0145224267707	1.3511938572114919	-2.4634022461394998	0.13711395740487953	180.74544342048824	0.14859466189486142	0.12537019528631643	0.00044238426698856823	11.543770772031568	-10.06334028510408	1.3662377707883735
caffeine	rep3	-200.97982538124273	0.6109231213875017	-2.2951157214677504	0.08159081084653427	180.70528908420226	0.0794423715916976	0.13377953983135205	7.890303460305942e-05	11.560193316956008	-10.875679161720848	0.6214460694945664
