cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-203.3409051586738	0.8204861731993726	-9.164180574495	0.07668205125141511	181.22685338063874	0.10974072891760339	0.10201045718655267	0.00011470013039696452	11.7684224645353	-19.40779943080819	0.8313367176631634
theophylline	rep2	-203.34377855770958	0.8323691307642739	-12.892768692784127	5.175767649122525	181.4645400423605	0.10353961436392278	0.10723476611642113	2.1287033023064522e-05	11.646090551795773	-23.01868189022101	5.243293772024256
theophylline	rep3	-202.3664789019732	0.4615714836702195	-9.951991450537001	0.03961701868387745	181.27464561368708	0.08902089667120987	0.09996468797938105	0.00015112291063630744	11.715352731400037	-19.228507319443715	0.47174408908772425
1_methylxanthine	rep1	-246.41296268538164	0.795797189145776	-11.606633182898499	2.3099076037828827	227.28157949824868	0.12531617365345937	0.1179239366076591	8.106664601504609e-05	11.59711527172697	-19.02297716169683	2.4463586111233244
1_methylxanthine	rep2	-247.1592312549591	1.219710448750452	-10.342650405635624	0.7249071245776134	227.4512196658864	0.08513613983076215	0.07010410852393215	0.00019701837962543702	11.529178282466075	-18.451379603718316	1.4214190512216789
1_methylxanthine	rep3	-246.8720406015706	0.7838116355894872	-10.736805553704752	0.29962355124469553	227.43901028727745	0.10808655376048192	0.09330652224272792	0.00035013998992561643	11.620598172695043	-18.455931173060105	0.8460601504903654
3_methylxanthine	rep1	-256.1278774842019	0.664147392532482	-9.462088781897249	0.6468601469363492	235.27482452626612	0.094009282605243	0.08049513361668985	3.9465891017914686e-05	11.699556903499056	-18.535089702717308	0.9318570466953174
3_methylxanthine	rep2	-255.87536897266307	0.9838426168396174	-9.82707653646125	0.18015186845968653	235.35433126446313	0.0977272444586909	0.07337855653968745	8.085055027416505e-06	11.690395310398987	-18.584340377722544	1.0049634843088575
3_methylxanthine	rep3	-255.49060296744588	0.4541110242697827	-10.706327808118498	0.6627954270003515	235.27912605347927	0.07382198737611619	0.08228473175151237	9.406179729870182e-05	11.694734820239308	-19.1407851700943	0.8068235836189414
hypoxanthine	rep1	-183.7856268309116	1.4132399031514786	-9.222259936822875	0.5551569468923266	169.5114317187944	0.05977069959733991	0.056163404366240434	3.563305473169037e-05	11.660679956004207	-11.779611688569629	1.519545589096451
hypoxanthine	rep2	-185.68818121662196	0.47883756460014776	-10.3956848522825	1.02093995444413	169.57191566484903	0.1040763277587688	0.0471619617302969	3.4758902120047265e-05	11.923878674849139	-14.540909767475991	1.1324467700781855
hypoxanthine	rep3	-185.67653998883725	0.7752587078010146	-12.342699204310627	0.297581655865806	169.48594013577957	0.07436221241566156	0.051666398822627226	2.9669803883186292e-05	11.714270682453405	-16.767361976092282	0.8337329581135576
xanthine	rep1	-301.2187363939465	0.9037347166113096	-10.621832059886	1.2816015865265193	281.55239399459816	0.1119333039740348	0.06707298972957243	4.536624519538295e-06	11.778880351317936	-18.442221118186808	1.572185780738059
xanthine	rep2	-301.0555854525788	0.8667407936312977	-8.875976718118626	0.22346018130639936	281.57833869592884	0.08973305321162157	0.047427126672572234	5.867134226892431e-05	11.776747735397915	-16.529048612698094	0.899569941836157
xanthine	rep3	-302.51982672972883	0.993962439228582	-9.0880934121085	1.6585576694253894	281.46150557785774	0.06643576377157276	0.07486995070092986	6.255090538007154e-05	11.626483612322888	-18.445061000955775	1.9347321747537924
caffeine	rep1	-200.52469561097985	0.6820198891595058	-9.355039700835126	1.1466788872211822	180.71422434882632	0.15136295338011135	0.11455669458441425	0.0001755032623473104	11.549066013665234	-17.501888254739015	1.3427339178203914
caffeine	rep2	-200.33219503307177	0.48949062633995666	-9.01633341268375	0.34489055079031017	180.91550592192914	0.1272390630740413	0.22390059141586746	0.0006143939235809612	11.621681202785537	-16.587440729624966	0.612160699449891
caffeine	rep3	-199.98839744722576	0.5345517298921334	-11.408398507364499	0.5829176576591238	180.7745789922019	0.11233808965109751	0.11749858548977198	0.00015446649738868058	11.579780158920741	-18.92493821797785	0.7988481819393649
