cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-203.7193957351955	1.057501075859015	-2.4624416828270004	0.3227098288246112	181.27754380803836	0.11079494126668785	0.14331649888601636	0.0010677722201869848	11.647521564796865	-13.113455546301257	1.111182621449232
theophylline	rep2	-200.60561912080146	1.6834242493016593	-2.121855575143	0.013109633222065297	181.23178518258118	0.05750298415436491	0.0803466298381133	0.00038552918843939924	11.928376285902289	-9.486966597622885	1.6844571254381884
theophylline	rep3	-201.76971938585336	0.807215707830357	-2.4526096943297504	0.35039147498232015	181.31787245832308	0.13028649616554658	0.078238513790587	1.00189500485936e-05	11.590485493273523	-11.23573261479591	0.8895762788495568
1_methylxanthine	rep1	-248.16574609628555	0.48502182274113004	-2.6351042909880005	0.6174149620091935	227.36979802899774	0.12858091689758563	0.06796430731923353	4.1096194676047656e-05	11.945986421097617	-11.417101629858971	0.7956006898734208
1_methylxanthine	rep2	-248.0898162382178	1.0581078724408297	-2.1702559071525	0.07538903434971753	227.39381769463063	0.08988998672963679	0.06772366952938681	3.6342396944477354e-05	11.906827797916943	-10.891702983293332	1.064591934619301
1_methylxanthine	rep3	-244.99595057980105	1.0646841438860097	-2.635391395136875	0.09083494547754566	227.43119692179204	0.12837025129817944	0.0673375639064237	0.00026939927901897576	11.53096242401106	-8.601845065228405	1.076235247311908
3_methylxanthine	rep1	-255.97837405931773	0.839570900678885	-2.7143007089828752	0.43032409168688096	235.23828349527332	0.10749713537590803	0.07752457536410196	8.10034866984355e-05	11.849797649294748	-11.527069048368434	0.9495334442917134
3_methylxanthine	rep2	-254.25605093967047	1.2336559445768145	-2.3523175945747496	0.11173915346711469	235.24453476863738	0.13631504578020617	0.08531275479217168	7.562528476743323e-05	11.773668418014196	-9.504852592801498	1.2461839452635006
3_methylxanthine	rep3	-245.1805410648232	1.5468411430416014	-8.825940986133375	3.037364214023159	235.1465467491683	0.10941910745281563	0.08320388949504348	0.0001451619468209409	11.729470819964979	-7.047260592328234	3.4103183799438037
3_methylxanthine	rep4	-257.4178791913672	0.56782904257786	-52.948307668341386	4.511429843420287	235.25560256278368	0.15793224753916651	0.09219349642833025	0.0001905065737388665	11.927019092588987	-63.09137170790759	4.549766113197865
3_methylxanthine	rep5	-254.1385769900612	1.2952487573904603	-2.0250055105535	0.017394294201202122	235.16614674075862	0.0806687795778154	0.07940588809463392	4.48170202512167e-06	11.627390620678723	-9.290639251082746	1.2978749388947108
hypoxanthine	rep1	-186.48043995391726	1.479908192206849	-2.278761871540625	0.0359373770574608	169.5014390898697	0.0792082415232835	0.06816169232883384	0.00027363470140042643	11.74413067462526	-7.445470368634094	1.4824620645506836
hypoxanthine	rep2	-181.41993671531026	1.6965307218151247	-3.1046568355268747	0.24287861130109575	169.58315535382238	0.1531840312833218	0.06436803551150568	1.2576438643580949e-05	11.71986917585706	-3.157200985646183	1.7206602969466325
hypoxanthine	rep3	-187.59560038157736	0.7902032323432835	-2.1536562415873757	0.013634857565240407	169.52743017521365	0.06086391400055636	0.06949132797032997	1.76347081490975e-06	11.709438255216448	-8.442896864764311	0.7926610081095036
xanthine	rep1	-298.96302527135026	0.9462170444330296	-2.522232725173375	0.006586961303571557	281.35110924751325	0.1376777871024773	0.06961132141019627	9.745908842155772e-05	11.627390620678723	-8.437146806921445	0.9562035692228416
xanthine	rep2	-299.5518207931533	0.7403375528248938	-2.83217650691825	0.1251858406615977	281.4017386845368	0.08269134432086168	0.09168186206435432	0.00010489391341702777	11.802812208841287	-9.087764544629119	0.7553866931931139
xanthine	rep3	-299.9399925926148	1.5962237497103418	-2.323192209911625	0.04596543460696617	281.4679447546725	0.061638840565546284	0.06251474653729665	7.137419282689171e-05	11.636212867905323	-9.096512433411275	1.598074601537266
caffeine	rep1	-196.02867269683838	1.3618619413540556	-2.5827727657898754	0.5517622670182114	180.77972301926914	0.13454893068771584	0.09039963580913873	0.00017784861224446293	11.296620869311477	-6.444701938238511	1.475538204518287
caffeine	rep2	-197.54209807104485	0.9756824085786332	-2.7613151745902504	0.7589757422906646	180.87501212811085	0.11416610205775872	0.12514311807987977	0.00020377737968541645	11.712261524642198	-7.590996474802154	1.241384018013665
caffeine	rep3	-193.02957887574044	2.4037772795107086	-3.428278714804	1.4353334569405947	180.82316375801736	0.18204080118246477	0.11692701027279143	0.00010764650770716994	11.817970543395258	-3.6997962788590417	2.805613338824127
