cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-201.12335855207252	1.7469511889495	-2.223092328410375	0.30327022083044564	180.38196950746232	0.06771505357506016	0.11463458265295332	4.812589018483524e-05	11.862654592964747	-10.987192197402889	1.7743721746610528
theophylline	rep2	-204.06207465345366	0.5065613067140048	-2.4248752597700003	0.07636079687765208	180.1730598602977	0.09650620962584754	0.11458882832280759	0.0002656398207265159	11.600547732427126	-14.598753492176021	0.5212953556482663
theophylline	rep3	-200.52099320979866	0.9290263415042018	-2.2824806822249997	0.2220776084299862	180.49029434263508	0.09264648984147081	0.11478483101814901	3.975029097504898e-05	11.64209979250527	-10.556294925865146	0.9596831670060153
1_methylxanthine	rep1	-248.28481176551819	0.503857746234508	-2.80210159450625	0.6988060417556583	227.42979461906427	0.09352671262797153	0.10546940513197622	5.090357443490793e-05	11.553422799797804	-11.998226536030376	0.8665735750649785
1_methylxanthine	rep2	-237.1616109731923	2.6353405450417693	-2.3443842104837502	0.006235875476662055	227.46431756471196	0.13202909999113063	0.10568779488142988	0.00010176432327509327	11.812456500837111	-0.123533323245546	2.638653135234803
1_methylxanthine	rep3	-240.98857018286532	3.0070496779125437	-3.4218293669985	1.2838157991276522	227.48258046953492	0.14121998074326592	0.10550261902014871	0.00013919500412360052	11.678264087698498	-5.144052373610254	3.2726860334991015
3_methylxanthine	rep1	-254.1973121386126	1.3518697248451348	-2.25310149562925	0.040668236202616274	234.74614599774696	0.13407702072530667	0.1016647572468511	0.00017754370447115416	11.646435220548558	-9.956167658699467	1.3591108628059132
3_methylxanthine	rep2	-251.28130173221916	1.5670443650655947	-2.6773462341745	0.12138240921640671	234.8170517299677	0.07932346440962669	0.10172574258629949	0.00031592699921896393	11.804775695916907	-7.235094797922775	1.5737388738818223
3_methylxanthine	rep3	-255.04237991221586	0.9483834206809589	-2.143732683905375	0.021451268551803702	234.7742453857661	0.12590091719784885	0.10184640218166394	0.0001761092301050421	11.64571246586706	-10.664308342306402	0.956944272938983
hypoxanthine	rep1	-184.84116588234397	2.034238506362278	-2.4461886534730004	0.09763537683592657	170.14060981643192	0.27292226734121905	0.06806080655105398	0.00015922268879289115	11.67011591250298	-5.408568000331021	2.054786012444961
hypoxanthine	rep2	-187.9670104732358	0.7691665416862556	-2.5735383281313746	0.021799055913896505	170.2361328043852	0.11017664475166467	0.06803600085702968	0.00013632285973583556	11.806994741577073	-8.429385254547883	0.7773231498681794
hypoxanthine	rep3	-185.18397121342792	0.9816729544490747	-4.1049246442861245	0.734858082754773	170.397271489577	0.0654076556361857	0.06809615810447542	1.5942888072649728e-05	11.645062147751375	-7.178466062281181	1.2279968863791118
xanthine	rep1	-300.8452630943378	0.4567761147303468	-2.502557485620125	0.23549332332514203	281.52275766303603	0.12863694012385982	0.09205123010605229	0.00010239073096629109	11.590045448157575	-10.14296623865824	0.5297631519529856
xanthine	rep2	-299.7260753843127	0.8665241420512083	-2.3162352818193748	0.007832374499823274	281.55240447851304	0.11125345092416397	0.09206987897175464	0.00010355496527748004	11.580863189011236	-8.816973119636064	0.873672007056455
xanthine	rep3	-301.08107252292666	1.0464465221726755	-2.349700189701625	0.0778497024032884	281.5441301562723	0.09955587462303601	0.09222440799998774	3.7788015289529996e-05	11.537743115869121	-10.256675032486926	1.0540504131830983
caffeine	rep1	-197.80197719143052	1.1666897690404978	-2.2305020742816257	0.1295423680284658	179.3295934846775	0.12709192562169236	0.13111047000034204	0.0003463171496150525	11.495594848139984	-9.076180462894314	1.1807195771189662
caffeine	rep2	-195.65234256522285	1.3240429625983432	-2.219451865	0.03381323035007064	179.2784294874108	0.06506742666248028	0.13129641802523345	0.00010722800785893533	11.527768368391266	-6.93430015639556	1.3260719749935248
caffeine	rep3	-196.2622648440187	1.3414380516247715	-17.499869300202505	21.084310819497887	179.4406688760992	0.11238098166140197	0.1312759499974327	0.0008250831205535916	11.917520830547241	-22.272668487577313	21.127239501301247
caffeine	rep4	-197.13297706985395	1.4607139693215179	-2.5158577602937493	0.34157375050388994	179.17472549284517	0.10384530352754877	0.13105965863217228	0.00028503952539544504	11.585727341743569	-8.757322336926796	1.5037093653750306
