cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-200.6732444505542	1.798854548977052	-2.583102615800125	0.09496193905958324	181.4511420124242	0.08323789705736412	0.09298612590207334	0.00018885244420747938	11.771928012431069	-9.940290915596968	1.8032814648349178
theophylline	rep2	-202.9020041241559	1.2948600127976655	-2.10194513568875	0.08041319995473868	181.33772523267967	0.1099545807620933	0.08413646322349899	0.000361720574456966	11.80440023931434	-11.77768732462712	1.3020057127914888
theophylline	rep3	-195.78749073667066	2.589725976226259	-2.4512613164858754	0.28584948442662683	181.32924610846038	0.06738402432425389	0.11468815634704418	4.678165215211762e-06	11.918746693161246	-4.876071095187861	2.6063252226926776
1_methylxanthine	rep1	-243.29883732723857	1.3048641188497974	-4.131859374970375	0.4463627677689175	227.30765282920655	0.15139138288672407	0.089439662744716	0.00011926031831287483	11.760967340342583	-8.272636869915088	1.3873822307307258
1_methylxanthine	rep2	-243.53633744757846	1.0615887137739184	-2.5409747657534996	0.13249331356294153	227.32041734335456	0.08325715488294802	0.06511722371483797	3.4315442961439798e-06	11.794532962164647	-6.897244684097915	1.0730595646104781
1_methylxanthine	rep3	-246.65186646910666	0.9193353119801125	-3.933391447212749	1.8229218298207202	227.40307068575467	0.16798753703321395	0.08024924325060805	8.558098466038341e-05	11.49335854551324	-11.6085794418009	2.0485217190484177
3_methylxanthine	rep1	-254.3662615394254	1.7656509644790872	-3.1073562940443757	1.2213632807515915	235.28063490349362	0.11688109102813535	0.08885620320517752	0.0001661204370015375	11.869665359012455	-10.234461367758549	2.1500959999428275
3_methylxanthine	rep2	-257.8589612345163	1.1239526907267372	-2.0713928445307506	0.09972166228536113	234.94836208976767	0.31612943470763455	0.071009878426913	0.00025139939044005694	11.999995660631015	-12.91098645022145	1.1718156611050434
3_methylxanthine	rep3	-252.38466856255403	1.609817550134105	-2.2125616811781255	0.012055481701379213	235.43605767971505	0.10690149262765108	0.08866377122261355	0.0002216358654100051	11.678083674376715	-7.394425118417779	1.6134081497275574
hypoxanthine	rep1	-181.15733961435015	1.1074462691127323	-2.245013262683625	0.039992397515028845	169.4995018052947	0.11591687755035461	0.061632390729314236	8.502647701527459e-05	11.80792561558599	-2.0332930654237593	1.1142142345892176
hypoxanthine	rep2	-180.77811512831198	1.7010929906055814	-2.438893691037125	0.007198005004773691	169.40053308803948	0.1089625856998138	0.053801456368805935	5.260183598536988e-06	12.010876931546262	-1.7517973433945553	1.704594385498658
hypoxanthine	rep3	-181.46183657957351	1.4449178051680387	-2.6476399628399996	0.3578718162135784	169.50666003248125	0.09918474460266119	0.04970495546388949	0.00010163967117485511	11.71553347492504	-2.837578079543338	1.491877114384474
xanthine	rep1	-300.86093749921406	0.45600670898527695	-2.8413557580498754	0.05030934574982315	281.47967103083283	0.09053479979399587	0.06927642103045924	1.2073844952061484e-05	11.825368425686758	-10.327977379713882	0.46762132011797214
xanthine	rep2	-291.2180226200916	2.7411725158370297	-2.5339676220396252	0.3888546826628367	281.5858662095021	0.08227503254241893	0.06233572980328768	9.183147545385335e-05	11.617297596791268	-0.48649070603450184	2.7698382471223844
xanthine	rep3	-301.00267624207584	0.7024084042418648	-2.7207152580972496	0.2838014097885437	281.43746938642266	0.09151328362541376	0.060413674791630984	0.0001026897885697699	11.868733703758531	-10.356774735200256	0.7630828907613287
caffeine	rep1	-193.20541667758647	2.741315124877975	-2.442434007326125	0.14804252115187402	180.8177796736152	0.13389263971911006	0.10053805455093315	3.4656808384030186e-06	11.497472538202198	-3.232060418544247	2.748572800734358
caffeine	rep2	-190.25171944231568	1.5525970535539655	-2.1711705587682495	0.12282004670650618	180.58604687190245	0.10510326899840544	0.09632092412057928	3.141756962025984e-06	11.638294319194884	-0.10222788586599663	1.560989773105982
caffeine	rep3	-197.89095513872076	1.017024650400148	-2.1977798132947504	0.00929576075318228	180.8064864633102	0.0960417087098072	0.09928422568967726	1.4134235490721378e-06	11.710437366636095	-7.472526896379536	1.0215916799305975
