cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-198.43873231267645	2.6557298560579783	-2.2156315784555	0.21849761446605376	182.30051830253672	0.11621126435736719	0.1207337532198785	9.484804770390946e-05	11.891991860183577	-6.341119975191766	2.6672358993618803
theophylline	rep2	-202.5675848406279	0.8707762956638605	-2.0955913300388755	0.001786456446428672	182.29153053042813	0.13052941871309245	0.0923560611766536	0.00044579048375811646	11.862323946883993	-10.41696563217798	0.8805070564143385
theophylline	rep3	-199.19836890859168	1.2772117220106034	-2.2711118790306246	0.0865730074987624	182.4700541161382	0.22265678410597023	0.11085210947531458	0.000240231679933987	11.771191383005702	-7.117383179003101	1.2993616777819579
1_methylxanthine	rep1	-248.55722211041922	0.938914530939893	-4.6242622154221245	2.5064408807445187	228.25557230943673	0.15017502216115244	0.08573064697274109	7.849781841370026e-05	11.695649857130038	-13.144531512301844	2.680738504315639
1_methylxanthine	rep2	-248.0324327741027	0.9845063060937386	-2.5701781735893747	0.5526318258937407	228.51864869852253	0.13351658557068288	0.10248666299775086	0.00016239193873907547	11.615296964591131	-10.366178621580648	1.1368734787664734
1_methylxanthine	rep3	-248.01463067593335	0.9678829056820253	-2.3772261671205	0.3339515515983031	228.06027814202795	0.2255275011018416	0.099963079763348	8.875065599974502e-06	11.678662819842565	-10.552952801419991	1.0484195781071632
3_methylxanthine	rep1	-252.903770960025	2.0235284024664635	-3.065537079995875	0.46399862471516967	236.37617224846403	0.12366726655077157	0.07511621927707418	5.281545700185333e-05	12.02804988142005	-7.4899696908597235	2.0797248652001206
3_methylxanthine	rep2	-254.10212227694095	1.1542722675967692	-3.266643104598625	1.2360025703350426	236.28968534044495	0.1734483494262054	0.07580735393593913	7.002561458319822e-05	11.961648911422834	-9.04162377573584	1.7000385749858975
3_methylxanthine	rep3	-258.34835636031903	1.0487221456241655	-2.0295110050689997	0.016029235387552913	236.12244320919956	0.12441213140755432	0.08176270211325408	0.0001392657871470396	11.562977151468342	-12.610684302606902	1.0561976486179057
hypoxanthine	rep1	-187.67383958421044	0.7522075831174343	-2.897706500236125	0.46337428508716355	170.2727579629427	0.12473856900180609	0.08730447873226821	1.1369701102123035e-05	11.810288923575365	-8.401194719196228	0.8922397026053595
hypoxanthine	rep2	-185.8994077126644	1.2668249260844522	-2.546143631604125	0.11145721243935663	170.24002040003234	0.12273140462289686	0.09395833204505451	3.1062596653005074e-05	11.613416224833413	-6.4981563873577475	1.2776271373915098
hypoxanthine	rep3	-181.47647111371893	1.414828638046487	-13.070870443409998	5.763678313974191	170.2428393022344	0.11524845104787891	0.050677609971949936	9.121700099081665e-05	11.664377165156978	-12.589447479765617	5.935908523200331
hypoxanthine	rep4	-179.4292504428377	1.2645182804388873	-3.1815242182175	0.740451894579208	170.2206202393095	0.10880618829857278	0.04487804974957379	6.918159742583955e-06	11.773125949878752	-0.5721504221173799	1.4693924854884701
xanthine	rep1	-300.79169055508623	1.077308641159788	-2.5125653250536253	0.3795244060369519	282.6436435659265	0.10745096465738861	0.05666576503647695	3.2371024680557225e-05	11.762198756625041	-8.841747792551862	1.1472481832406347
xanthine	rep2	-299.1862385714723	1.069409849632917	-3.912848614727375	1.2565942486992578	282.55466712069705	0.15287711607533894	0.046085044131844416	2.7985561642644638e-05	11.598571900781769	-8.899763120588995	1.6571173602852198
xanthine	rep3	-298.7465527310994	1.5558191040004876	-2.292657739682875	0.006974919342467858	282.70195745164534	0.07879447806057098	0.05056438257134927	2.4744381835990542e-05	12.369721426447633	-5.9169672101179565	1.557828714672392
caffeine	rep1	-199.57507718229425	1.18265934165275	-2.2327523265206253	0.016640690558521996	181.62790232165173	0.16138460551148087	0.11315324225066964	9.225386079456775e-05	11.543949530300974	-8.522824414611502	1.1937357456270008
caffeine	rep2	-197.1979645319542	0.6340167751559781	-2.696291850777375	0.1506973961469235	181.83360392669726	0.21348745400152036	0.11872006705435878	0.0001807677139442942	11.498925351697435	-6.443007037282525	0.6857579034015332
caffeine	rep3	-199.30557661609956	1.0213865198980432	-2.591379964231125	0.1909609492289602	181.73979867704233	0.17711385702884763	0.11396866416123938	1.6446272151373253e-05	11.483904596233057	-8.559284642894056	1.0540710724528857
