cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-203.04134198938766	0.33264941193751135	-10.733046587569374	0.4390953513155936	181.44450183128146	0.1411052780692889	0.11039273562978441	2.327313302624952e-05	11.796657680374151	-20.422836329671625	0.5686572419744488
theophylline	rep2	-203.35999958319965	0.6179666934173299	-9.924147698074623	0.10932669705569366	181.1632180708196	0.12178885047373006	0.12062649412741933	0.00020121321398836086	11.70680356868377	-20.293499147643487	0.6392712455982403
theophylline	rep3	-204.0424777086211	0.5929290033021921	-13.478925030194626	1.6686745361914765	181.25111849832777	0.06198563183832733	0.09871365501647184	0.00018762163214198954	11.653906107790144	-24.51766447768135	1.7719711522615271
1_methylxanthine	rep1	-242.59952030727746	0.6202716263850002	-12.1523807789815	2.4443919488928585	227.39747536682776	0.10960881306703875	0.10192905369870756	3.710271388199045e-05	11.682192277647431	-15.570304388085052	2.52424305160757
1_methylxanthine	rep2	-247.10253199796452	0.6235188543383003	-11.022269252980873	0.4378304106479864	227.4616497676845	0.10057480695964523	0.0983987870819073	0.0005008238044114442	11.631038517589937	-18.933714178589042	0.7684964364413045
1_methylxanthine	rep3	-245.2282895854194	0.510574107141531	-12.349742223685126	0.6419639082052679	227.41227367467437	0.11258821232365557	0.08111510885663428	8.537361465575842e-05	11.445483280948638	-18.639159744624877	0.8279370091766909
3_methylxanthine	rep1	-255.15261170030422	0.884577099595532	-10.671424875533877	0.04964565040434724	235.32144095857254	0.09083234765871791	0.09516136860651551	0.00021697935758816967	11.714139517519044	-18.693294731139982	0.8906132146976881
3_methylxanthine	rep2	-256.1676320735049	0.46068418716369436	-11.283694143098126	0.9459799371062586	235.27144262687258	0.18542676971214964	0.09552907106350315	0.00016338279009898868	11.6546070724222	-20.42974744624469	1.068405857027213
3_methylxanthine	rep3	-256.674703401033	0.3710822567762903	-11.775350503734874	2.1503023282003215	235.35105467531528	0.0706226431712374	0.07057695012035384	5.914518639946992e-05	11.777233841934294	-21.251188437397982	2.183229192087847
hypoxanthine	rep1	-187.5501479662749	0.5194704910141054	-8.21940557095675	0.29744952400282926	169.59729906100006	0.1031452685451608	0.05825067419475373	8.630986537465956e-05	11.824235768725101	-14.289768033311733	0.607424698408446
hypoxanthine	rep2	-186.13550524889234	0.524517878506759	-8.587942017383998	0.18252777751980132	169.52678505143155	0.15308620104365142	0.09589375542453288	3.489560032458689e-05	11.730091396562948	-13.370677062857311	0.576082268957507
hypoxanthine	rep3	-186.9093504424406	0.6566514495102413	-10.074669118918	1.2169534137305513	169.47629208167487	0.08591329965630708	0.0426055187699802	2.1230441838115413e-05	11.788890454889762	-15.67623150602398	1.3854774746790037
xanthine	rep1	-301.585311063494	0.4449805236270055	-9.096830565207	1.5967228070385444	281.4327865029013	0.06780258573424922	0.07157424201634459	8.150264407191281e-05	11.659932177071136	-17.517848706712158	1.6589540639208018
xanthine	rep2	-300.38325478938765	0.3543052714875953	-12.767508753972374	1.7648687478262017	281.62044754693534	0.07563502375591076	0.06694888681999489	0.000205834493622216	11.853014349389516	-19.61035276021518	1.8016699535830416
xanthine	rep3	-300.50206785787896	0.9120469944408599	-8.927398063033625	0.14615810180321637	281.4874942236541	0.07156102630123456	0.0657179156872914	4.255259463187262e-05	11.703504443720858	-16.172749337850362	0.9264517759102924
caffeine	rep1	-199.89855936078914	0.5746962046149089	-8.800210546877373	0.2661478795553394	180.8932795312912	0.12466732409210497	0.12765791969966903	4.2865261901531085e-05	11.668117656890256	-16.009714799785378	0.6454861461908391
caffeine	rep2	-199.54601041342002	0.7723460200782565	-10.326420866422875	0.015331511087871548	180.75785922032043	0.140206965065864	0.11281475111937045	0.000245224512581436	11.585721892626829	-17.41603541577626	0.7851187700921448
caffeine	rep3	-200.53112163525378	0.6429508784973831	-8.925772738798123	0.06050909812853567	180.82824054899174	0.10506393730422539	0.16959841870311265	0.00014964731508774025	11.731711389766486	-16.727344016590557	0.6542825356320238
