cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-201.40385330518052	1.4408041126603834	-2.336624492086375	0.05743167680286393	181.28038291052368	0.10640612021741272	0.08952296980159133	4.952556381968744e-05	11.630219232285812	-10.740352684655802	1.4458689959439506
theophylline	rep2	-203.78139396828573	0.763055660536257	-2.4049456329413745	0.08894801255427884	181.41961148431605	0.15037896629955189	0.11847964702053332	0.00015925694875289838	11.902469056689624	-12.745779413200898	0.7828023689807517
theophylline	rep3	-198.80881466465758	1.403312892089108	-2.7206785366735	0.23571120281506358	181.13466682458147	0.07072337951122183	0.13646691851569026	4.6825259079455114e-05	11.656338413285921	-8.60202104494798	1.4247275679364506
1_methylxanthine	rep1	-248.60822302547072	0.9680958962114482	-2.3732087017758747	0.3001590952728075	227.2654349690083	0.06900305325097256	0.09470790531708291	0.0002568667624613163	11.553095629258712	-12.068193223662481	1.0159068038333672
1_methylxanthine	rep2	-246.98179634720728	0.5743033092011052	-4.329048590460999	2.209684786255658	227.35177040274925	0.06138855734532546	0.08436902234323786	1.1749209568658356e-05	11.566513421929274	-12.308192090646498	2.2839219996926423
1_methylxanthine	rep3	-246.77260288912606	1.2304568858570104	-2.8109341079941252	0.19951011798391083	227.50779867718674	0.15333184135806055	0.0830978678841775	9.956896767462688e-05	12.198472226804457	-9.794168225244801	1.2559216132462723
3_methylxanthine	rep1	-256.1034463673359	0.6343417845783215	-2.686468809573875	0.28858497894112506	235.0861142926011	0.0746295326890298	0.08221842790148802	0.0003046527942672358	11.925842327034845	-11.695740129372302	0.7008854754488548
3_methylxanthine	rep2	-253.92807818324633	1.3875040379256505	-2.843379798408625	0.9641892740677159	235.2880914702721	0.20430432747820448	0.06560946216122082	1.954801095568582e-05	11.60860011336285	-9.809156935858812	1.7019308652514826
3_methylxanthine	rep3	-251.7675765165588	1.510689243790838	-2.460397023206875	0.18677748263384017	235.1050523899259	0.12502321022102367	0.07834355877441818	2.5399453665672186e-05	11.652784577845267	-7.39179301322007	1.5273174598175294
hypoxanthine	rep1	-187.2894069356074	0.6286187857513954	-2.496417587569375	0.14843394043263772	169.5041930194485	0.11854965583510564	0.03842933940697759	8.866704736591844e-05	11.879229346496013	-8.363972817825259	0.6566949377240439
hypoxanthine	rep2	-184.03560547292932	0.663950826676128	-2.5847910360577497	0.05824502213543178	169.53870325981546	0.07258521661739258	0.053660225744356096	0.0001214902358226978	12.191262125433262	-4.836770897993976	0.6704415047405269
hypoxanthine	rep3	-187.07356131876043	0.7563576372817421	-2.359601454619875	0.045775961538719996	169.4851410022596	0.07611009996814597	0.04724221211658365	4.5142016878309394e-05	11.763282692848444	-8.137496866155667	0.7615543732946299
xanthine	rep1	-300.261340869508	0.7930735305799894	-2.17300053143925	0.038016994299505044	281.5391876723173	0.12294578234823204	0.07530159343728597	5.7372775219178315e-06	11.8568967400861	-8.962955395106523	0.8034466890791905
xanthine	rep2	-302.32466936226797	1.2947174500718854	-3.1365598342425	0.5771617168037478	281.51084192057704	0.11581878400762634	0.05206037334288535	0.00011015003781775935	11.748288600660228	-12.150038301930337	1.4222597954405274
xanthine	rep3	-298.59073981324474	1.2051631829834972	-2.494503586696625	0.01951943301219853	281.4824475379326	0.08729608394950548	0.07661366588496689	0.00014339582515747037	11.578981064198983	-7.947201131924798	1.2084783542618023
caffeine	rep1	-194.21691182792958	1.9074121683473428	-2.197821459003875	0.011123063402935233	180.81607130819447	0.2226347262611945	0.1289504664492927	0.00041477358310046457	11.650781266881902	-3.8189302454077936	1.9203935263048302
caffeine	rep2	-196.59561088134072	0.505479838724965	-2.453683721901375	0.046202001497347725	180.9032745030714	0.06976509003086508	0.13276353206241145	0.0005067900426842983	11.578038596878558	-6.435217971229717	0.5123591678919581
caffeine	rep3	-198.73422681155398	1.4445746845027667	-2.4599542467098745	0.5922694331027226	180.87850810136834	0.1368978593392787	0.10764128185152166	1.1582131705955117e-05	11.560250367557082	-8.647781307486923	1.5672651736448144
