cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-203.27897930729216	1.8033300454844565	-2.75468630515825	0.6814979246318954	181.26442318322933	0.10511727343942989	0.09866292534481366	3.48237124969184e-05	12.051135553031896	-12.619443950844383	1.9306704318999095
theophylline	rep2	-200.70850148311126	1.1826642016217754	-2.31932436341725	0.1841201088507781	181.26156550367145	0.08600461848242968	0.09580618102114369	0.00014903797582926378	11.840899964801773	-9.82955419703415	1.1999965187005837
theophylline	rep3	-200.49877840406242	1.02691440539515	-2.426448844305	0.10458063383309717	181.3095694917578	0.10902845742443823	0.18914385562691058	0.0005940595024953767	12.015227688399493	-9.411286212583233	1.0379681413299986
1_methylxanthine	rep1	-250.47891963106068	0.866704375780327	-2.5616241943152502	0.22458931121287154	227.40889404277203	0.13900133816194016	0.1033048189493993	2.001923958939672e-05	12.057801630150486	-13.470543333504	0.9060564033874594
1_methylxanthine	rep2	-245.43672625068598	0.9128662291547268	-2.298944197648375	0.17888552477386854	227.38661587175255	0.06627349175855339	0.058366934443491135	5.451503026975785e-05	11.70118393000164	-8.589503712136676	0.9325861686656907
1_methylxanthine	rep3	-245.32356313834765	1.3858674780978102	-2.7408125826053755	0.5409700016158066	227.27974972990916	0.10299773085594002	0.07096330182827562	8.773957202225065e-05	11.724428081480177	-8.989234607735415	1.4912698447152666
3_methylxanthine	rep1	-254.25492720382465	1.3965265892190282	-2.6765662980761253	0.2959236741674332	235.23558519268957	0.11054446679799507	0.0676232158582809	0.00022392204606134437	11.619120091368199	-10.009165001984726	1.4318091578870493
3_methylxanthine	rep2	-252.41321753138726	1.1168049530100665	-2.385052626736125	0.010193787319836943	235.16288324199365	0.10272807134614478	0.10317672915403843	0.00010853967413496127	11.658971594647173	-7.873238592328519	1.1215659966275273
3_methylxanthine	rep3	-256.0274367383233	0.7958161845714103	-2.425596417768125	0.09969359884176106	235.192274110387	0.1357315870335941	0.06409416641536236	0.00014043903696467656	11.723804023443785	-11.472860855845271	0.8134404076007046
hypoxanthine	rep1	-185.78109711992875	1.6909715625907227	-2.5810870297740003	0.17464544194731232	169.56138539387626	0.07196663115020777	0.04026450163074451	1.8738198154749634e-05	11.759033243857694	-7.001501010338053	1.7014890690902815
hypoxanthine	rep2	-182.31121979808722	1.593358232811106	-2.32061554778975	0.14452439618811827	169.5706368279529	0.0877706961809683	0.04084994391350354	3.91909700754383e-05	11.792593080043208	-3.2277554939673436	1.6023050445544054
hypoxanthine	rep3	-182.98639521796935	1.7137080421811943	-2.323836191645	0.4519104316227013	169.58436692047803	0.10319820197967491	0.04236368481861138	9.712386884595086e-06	11.890504426462613	-3.79299637785509	1.7752938238590497
xanthine	rep1	-300.94495325495814	0.9708582670064885	-2.2332028498857497	0.01820839076838715	281.5421893582767	0.11260702771255711	0.05364723396349263	8.90169205137478e-05	11.627211862409316	-9.955107650194384	0.9775365316567382
xanthine	rep2	-293.058094067394	1.8261687103830742	-15.60130074594763	3.219993394139141	281.51581529527465	0.0947961557525546	0.06736748022198441	2.8359055754476354e-05	11.580554600625295	-15.495657437219705	3.7030036361083396
xanthine	rep3	-296.0909371350318	0.5993830990007573	-2.2982732123572496	0.055995535646392584	281.5501473630378	0.1034415603336813	0.05033256181093036	2.5149766214230134e-05	11.76687000793418	-5.0218604146061345	0.6108156484708421
xanthine	rep4	-297.3820362923763	1.929295209069295	-13.887903495282496	1.9654018149381158	281.4946236281782	0.05718844173266757	0.06539452440657358	3.509371013770625e-07	12.1746402566748	-17.535281378399233	2.754678713710132
xanthine	rep5	-299.40625513284044	0.6453967032672946	-2.314572223410125	0.043267130393387886	281.5454162146018	0.09324930525633673	0.08496817824615607	0.00012204046915933874	11.768593194637482	-8.321849768765155	0.6535322463241093
caffeine	rep1	-195.40691808071207	2.0847677112218217	-2.9152964889463746	0.47642735748285053	180.58958912391438	0.20651688026999146	0.12541611957202933	0.0006197357978921654	11.464196304054697	-6.14301302211735	2.1484620179607723
caffeine	rep2	-200.10652978506934	0.7017672623764205	-2.2934528520137505	0.0302176564480197	180.85509797075636	0.12520155019174967	0.2102936662969637	0.000754360414941987	11.565981757656411	-9.768609242373364	0.7134888888655234
caffeine	rep3	-199.634039681122	1.12061374831786	-2.2336173491549998	0.13143157497524716	180.73292229715202	0.16800039826058125	0.13075478649306066	0.00014344940972522142	11.726208570839482	-9.277771375792444	1.1407337928776042
