cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-204.25715189982859	1.5703775238448852	-10.508293633180124	0.0118187903647452	181.39307005933787	0.10852556507710925	0.09726584712383185	7.651587175079698e-05	12.11089119986197	-21.164218426685046	1.5741674165516395
theophylline	rep2	-200.76361655542507	1.4467461265765806	-9.8620394292215	1.0579990180137915	181.47623286423024	0.12256747219028653	0.1845398312891881	8.785208484349535e-05	11.58483077346202	-17.380052515665135	1.7965130308015
theophylline	rep3	-204.38438645489097	0.298130940996225	-10.511642336216626	1.0135642769754234	181.0875044740417	0.10859771385076136	0.08516873354302487	0.00023147244127433303	11.810489475754983	-21.912866107767883	1.0620678502681034
1_methylxanthine	rep1	-247.31391685578484	1.0407023683213026	-12.06748509996875	6.403277704015559	227.37022699673813	0.09020516809190458	0.11099138025173165	2.4349454948760153e-05	11.805513910608566	-20.09466966815515	6.487924456027192
1_methylxanthine	rep2	-248.87823409429552	1.047509940187203	-14.171921677951499	2.8951976970106084	227.39812746848844	0.06595615952814578	0.06975237945490703	7.103479087633519e-06	12.04817790723406	-23.53409801706962	3.079577405196481
1_methylxanthine	rep3	-247.878636983832	0.39432737920331995	-12.971537352540999	3.481884299782884	227.3034005561763	0.0822760397064828	0.08156015764478203	0.00011578676143933028	11.662448531343268	-21.802765091208656	3.5051079468655826
3_methylxanthine	rep1	-255.5917347063969	0.49197999612639143	-9.65338129420375	0.6673509652270151	235.24074159691818	0.11527150390519182	0.0812879332094939	0.0002560700133283081	11.778148778421055	-18.144937692051926	0.837071808486207
3_methylxanthine	rep2	-255.8712759199815	0.9329004091902275	-11.452116564689874	1.6210435800811516	235.23102757266102	0.09674718191248688	0.06541779338700998	0.00014249559795521277	11.831248901600603	-20.195698217022752	1.8728175296869192
3_methylxanthine	rep3	-258.3153615558278	1.199962942869853	-10.076009384055375	0.9612696460107828	235.04331398833733	0.11541320619111886	0.12707665275755092	4.188362365828342e-05	11.539780461157743	-21.68119983763056	1.541840006784143
hypoxanthine	rep1	-187.97922428397717	0.4773221022153236	-12.22951553773075	2.992202183973834	169.5531870850074	0.08576545840041369	0.06069877436740111	0.0001142691388971234	11.937548814707716	-18.657305147625394	3.0312482620123857
hypoxanthine	rep2	-185.26790362994842	0.5793383368103899	-8.927178403040875	0.029984657418141488	169.47670213406937	0.08803484732236413	0.052617720895837085	1.5350248362614244e-05	11.996556185469458	-12.669205992554623	0.5867555903077654
hypoxanthine	rep3	-185.9798750794967	1.1144252626635123	-8.544792236346124	0.06835805644183245	169.6287233472917	0.05262988739860507	0.038111620538272675	0.00011662639658104142	11.717096010587069	-13.140736337425794	1.1177595486474043
xanthine	rep1	-300.4927737449551	1.0864067088020397	-29.949963839234368	0.17656106657620027	281.4753013707233	0.06291444624781732	0.0885235393710398	5.7143248582286176e-05	11.808768961506313	-37.07014371258886	1.1024570640041387
xanthine	rep2	-302.33387290811936	0.41031401779156557	-11.880908336890876	1.324311840060292	281.4683386725608	0.07886222121077616	0.045291234117350615	2.7363571634132765e-05	11.607528024588271	-21.09362331374382	1.388660755405436
xanthine	rep3	-297.1714850293197	0.9149186453118519	-11.9629870921245	4.191439567744344	281.4714278050301	0.07642573851022551	0.050720432188929014	0.00016183020709313137	11.828648458812285	-15.78367542541286	4.290813757003211
xanthine	rep4	-301.3570132691502	0.9696375379362531	-9.859443815962374	0.60470189695527	281.44412655003464	0.08246604198475577	0.09695041811994301	0.00015358104024799156	11.69615786351856	-17.97922225343941	1.145714628877605
caffeine	rep1	-200.4016344222131	0.9096139991197434	-8.383976931079875	0.004493803344237784	180.56248191476524	0.43427375471240964	0.14297902229303303	0.0002563971877963912	11.59026584306365	-16.489884573171054	1.0079739983921416
caffeine	rep2	-196.61894682093353	1.5860106385923964	-14.781480936857374	2.423106452275989	180.69345864313297	0.08268587094035419	0.09807136553838569	0.00031291467963401846	11.576445220613252	-19.0324525285063	2.897190307169785
caffeine	rep3	-199.22527558754967	1.2460960231551654	-13.569872739967876	4.226917524602372	180.71090867686877	0.0899043614156667	0.10588530179989822	0.0004283367212894387	11.593394091725305	-20.38496025712358	4.407683068958982
