cmpnd	rep	ΔG(site,couple)	error(site,couple)	ΔG(site,c+o+a+r)	error(site,c+o+a+r)	ΔG(bulk,decouple)	error(bulk,decouple)	ΔG(bulk,c)	error(bulk,c)	ΔG(bulk,o+a+r)	ΔG(total)	error(total)
theophylline	rep1	-197.34300309490612	1.1975557366724932	-2.281379282438375	0.015357468123585223	180.29007230583855	0.15170181455020634	0.11433837582143065	0.00032914362495883095	11.652733754476689	-7.5672379412078215	1.2072237336706548
theophylline	rep2	-204.33613282247643	0.71111442984211	-2.3285416062782502	0.08742626500671859	180.47969684307867	0.17527917177264538	0.11446203823813805	0.00010289246120380833	11.805122993995838	-14.26539255344202	0.7375973717326123
theophylline	rep3	-202.41837560069115	0.8037316166574576	-2.27557465858075	0.05251823111739764	180.26676556129362	0.15740914822183888	0.11486157672053857	0.00028074603258627484	11.86485549537064	-12.447467625887096	0.8206828833214267
1_methylxanthine	rep1	-248.67966877270945	0.6048518079891638	-2.301965742613125	0.07249618127740454	227.56440594261153	0.06513287939784126	0.10573876376358399	1.6216682528983025e-06	11.553033598116022	-11.758456210831449	0.6126529995918164
1_methylxanthine	rep2	-248.55015573526813	0.729435569213605	-3.1916485286721255	0.7551265146158057	227.35604087010273	0.1103726838128827	0.10585177788650868	0.00025458453124374585	11.541241128760271	-12.73867048719074	1.0556867418202867
1_methylxanthine	rep3	-246.9148423865149	1.2917381718881162	-2.95641146764	1.051773234148515	227.41308117117063	0.05557161168888699	0.10558043610631192	5.178909750348049e-05	11.525596772574048	-10.82699547430391	1.666704127159914
3_methylxanthine	rep1	-254.13835591254238	1.307954349474213	-2.7358105379726245	0.16446896047577902	234.64801120235717	0.09936694027103332	0.10160567626332181	0.00047641139751725364	11.703674328387143	-10.420875243507387	1.321994188737281
3_methylxanthine	rep2	-253.63088552992693	0.9094224284295466	-2.392843444315875	0.005191950743812161	234.7302090218196	0.062018799516145626	0.10162017030285254	3.6008453353090174e-05	11.59601894432644	-9.595880837793933	0.9115494734095635
3_methylxanthine	rep3	-246.38143717182166	2.3658214020900346	-2.3452842038705	0.09686714228571426	234.73494119201746	0.11995880167977001	0.10167173095034819	0.0003181344441847222	11.779983122773732	-2.110125329950625	2.3708404343506184
hypoxanthine	rep1	-184.8621101862907	1.3756601020434114	-2.5793707150952496	0.04297911910749618	170.31043408800832	0.1101311178259617	0.06795267600838711	0.00013285323040999344	11.850179373912457	-5.2129147634567765	1.3807305319275454
hypoxanthine	rep2	-186.78816313764395	1.0253255406494715	-2.4174813103928745	0.022743989596004374	170.41944698534172	0.10169077980591881	0.06818923056979714	3.0837538866958254e-05	11.996556185469458	-6.721452046655845	1.0306069905736928
hypoxanthine	rep3	-188.32799820839665	0.7062199762474636	-3.5673648696536246	0.22140162167167696	170.36569060441366	0.09822542091232202	0.06806960915635982	2.7832864958213642e-05	11.662418449593646	-9.799184414886616	0.746601344103992
xanthine	rep1	-301.0573415237057	0.7463926322320544	-3.57846198449525	1.249348534855021	281.41948620154363	0.10364901182155087	0.0919719549538432	0.0001110066289108618	11.647424736513413	-11.476920615190087	1.4590122867778526
xanthine	rep2	-298.7224338555602	0.5173669876283136	-3.9769131990305007	0.7367093567659131	281.50032475834786	0.13480192912046302	0.09222334717411716	0.0001252444148250544	11.502019980234234	-9.604778968834495	0.9102641660610411
xanthine	rep3	-297.5057142268112	1.5835837503086296	-2.69990794504625	0.03700701163896744	281.45117230033264	0.12203873980048888	0.09202085745723584	6.577872689872618e-05	11.913715860268418	-6.748713153799201	1.5887103170467936
caffeine	rep1	-195.6004966023143	0.9827330191820508	-2.5864842229686253	0.3201197440068955	178.9264112955043	0.24940077105755104	0.13141346164578738	0.00027911414022329447	11.863766273561758	-7.265389794571103	1.063222300369266
caffeine	rep2	-193.20088800418532	1.7154809530639947	-2.63829802415375	0.2448063673673977	179.22840891622585	0.1458830064025748	0.13133298183538097	0.00045761667098143945	11.495164424335519	-4.984279705942326	1.7389902583968218
caffeine	rep3	-193.3790414827858	1.0692024812858962	-3.240686672871	1.2518384306870585	179.34349370515147	0.15715776223227748	0.1313149699508517	0.00017974945610506728	11.608384971600286	-5.536534508954178	1.6537811212710944
